Language,Country,Duration,Budget,Gross Earnings,Facebook_Likes_Director,Facebook_Likes_Actor,Facebook_Likes_Music,Facebook_Likes_Actress,Facebook_Likes_Total_Cast,Facenumber_in_posters,User_upvotes,Reviews_by_Users,IMDB_Score
English,USA,95,1800000,515005,0,654,575,277,1991,0,342585,839,8.5
English,UK,110,3000000,51100000,82,387,202,177,1198,2,139432,418,7.8
English,USA,139,6000000,102300000,55,382,279,266,2045,2,107408,259,7.8
English,USA,170,17000000,72000000,165,453,272,244,1164,1,66959,258,7.9
English,USA,95,160000,12438,0,581,99,87,835,1,891,26,8.1
English,USA,172,19000000,12438,75,617,134,102,1131,0,6156,91,6.7
English,France,133,6700000,12438,287,343,94,28,502,0,10119,124,7.9
French,France,94,120000,12438,0,12,7,5,27,0,1962,10,7.4
English,USA,25,150000,12438,36,39,36,27,139,0,21826,126,8.4
English,USA,200,11000000,111722000,767,597,396,382,1966,2,55816,255,8
English,USA,152,3800000,14873,541,773,575,288,2888,2,5294,67,6.8
French,France,110,300000,14873,0,710,257,0,967,1,19386,74,7.7
English,USA,225,20000000,8000000,126,940,208,202,1934,6,6484,100,6.6
English,UK,94,20000000,8000000,82,694,196,47,964,1,340,7,7.3
English,USA,174,8200000,163214286,338,354,209,195,1495,3,148172,406,8
English,UK,130,9000000,63600000,92,244,189,177,1164,1,82073,275,7
English,USA,99,2000000,63600000,44,907,164,137,1807,0,6804,72,7
English,UK,120,2000000,63600000,160,559,269,94,1238,0,23713,167,7.9
English,USA,105,1377800,63600000,7,1000,370,356,2658,1,22975,155,6.5
English,USA,121,3500000,63600000,22,606,481,367,2402,1,5941,74,7
Italian,Italy,142,1200000,6100000,0,16000,34,24,16089,3,503509,780,8.9
English,UK,117,9500000,43100000,43,742,462,244,2127,0,75280,267,6.9
English,UK,161,12000000,56715371,0,273,117,73,727,0,427357,1736,8.3
English,UK,153,10000000,16800000,82,695,275,139,1593,1,25303,138,7.5
English,USA,110,6000000,102308900,131,640,566,399,2169,1,152089,309,8.1
French,France,123,1600000,26893,0,963,710,21,1694,0,4391,26,7.2
English,UK,142,7000000,22800000,13,803,314,244,1769,2,59941,452,6.8
English,USA,109,900000,9000000,199,503,46,44,731,8,7584,137,6.2
English,USA,122,18000000,9000000,0,643,559,191,2032,0,17277,124,7.2
English,USA,97,1200000,9000000,282,586,434,148,1581,1,1172,27,6.6
English,USA,143,25000000,5000000,688,638,50,42,788,2,1547,50,6.2
English,USA,172,12000000,5000000,76,654,416,78,1306,0,76398,258,8
English,USA,121,3716946,5000000,541,575,372,242,1970,2,6350,62,7.3
Italian,Italy,106,750000,5000000,973,319,90,48,500,1,17813,101,8.1
English,USA,124,11000000,5000000,58,338,275,104,800,0,2603,36,6.9
English,Japan,160,25000000,14500000,130,469,377,288,1548,0,25019,159,7.5
English,Italy,134,25000000,14500000,27,279,128,87,705,2,5911,76,7.3
English,USA,215,600000,13300000,14,262,227,136,778,0,12631,63,8.1
English,USA,82,2000000,13300000,11000,11000,430,167,11700,3,27646,105,7.1
English,UK,120,7200000,43800000,82,244,177,175,1105,2,74249,276,6.7
English,USA,98,2500000,43800000,11,595,521,450,2373,0,23546,92,6.3
English,USA,181,9000000,50000000,278,402,343,51,934,0,29839,150,8
English,USA,65,27000,8231,0,0,0,0,0,1,803,16,6.7
English,USA,97,500000,15180000,101,982,535,101,1631,1,3340,50,5.5
English,USA,115,6500000,15180000,338,116,112,45,394,0,25857,171,7.2
English,USA,104,1800000,15180000,607,813,165,109,1196,0,82476,280,7.8
English,USA,104,1800000,15180000,607,813,165,109,1196,0,82476,280,7.8
English,USA,106,1800000,15180000,6,440,98,13,564,1,544,19,6.8
English,USA,89,3000000,15180000,21,240,177,124,1011,1,128334,349,7.8
English,USA,168,4000000,15180000,0,713,649,69,1541,0,6303,129,7.6
English,USA,88,1700000,15180000,88,595,70,67,941,0,23268,95,6.1
Swedish,Sweden,91,400000,15180000,0,440,132,92,809,0,19964,197,8.2
English,USA,88,2000000,15180000,11000,11000,300,258,12034,5,31077,78,6.8
English,UK,116,2000000,15180000,13000,195,146,118,771,0,30982,199,7.5
English,USA,108,10000,180483,0,462,143,105,760,2,16792,183,6.1
English,USA,89,1000000,180483,136,844,184,42,1080,1,20678,199,6.7
Russian,Soviet Union,115,1000000,180483,0,29,29,12,95,0,54057,236,8.1
English,USA,175,6000000,134821952,0,14000,10000,3000,28122,1,1155770,2238,9.2
English,USA,112,777000,115000000,0,11000,2000,425,14954,1,63839,238,7.5
English,USA,96,1800000,115000000,88,595,356,196,1432,4,22764,91,5.5
English,USA,105,5500000,115000000,16000,16000,742,258,17599,0,36381,169,7.6
English,UK,121,7000000,35400000,82,581,547,189,1865,3,74957,251,6.8
English,USA,112,500000,32645,17000,22000,926,354,23737,0,67797,223,7.4
English,USA,106,4638783,32645,541,773,476,372,2409,0,13467,106,7.4
English,USA,89,2000000,32645,11000,11000,66,45,11192,0,33335,128,7.3
English,USA,132,8000000,204565000,607,1000,931,259,2466,0,284252,1058,8
English,USA,129,5500000,159600000,131,1000,559,417,2387,0,175607,252,8.3
English,USA,86,500000,39552600,24,407,189,142,1090,0,3411,36,6.1
English,USA,93,2600000,119500000,0,1000,1000,628,4701,0,95294,363,7.8
English,USA,113,1600000,119500000,0,11000,481,324,12157,2,74651,313,7.9
English,USA,105,4000000,119500000,0,597,222,116,1218,2,9007,50,7.3
English,USA,220,13000000,57300000,0,22000,14000,3000,39960,1,790926,650,9
English,UK,125,13000000,21000000,82,16000,387,244,17611,3,73950,258,6.8
English,USA,88,83532,30859000,365,383,371,177,1094,0,96410,826,7.5
English,USA,88,83532,30859000,365,383,371,177,1094,0,96411,826,7.5
English,USA,106,2800000,86300000,0,1000,595,481,2703,0,112671,315,8
English,UK,184,11000000,86300000,0,385,293,111,1104,0,101627,369,8.1
English,USA,80,300000,86300000,43,13000,926,668,14950,0,19875,147,6.2
English,USA,130,8000000,260000000,14000,813,559,366,2047,0,412454,962,8
English,UK,91,229575,1229197,0,795,561,332,2158,0,382240,660,8.3
English,USA,133,4400000,112000000,869,888,721,425,2176,0,680041,760,8.7
English,UK,113,5000000,112000000,688,462,278,80,971,0,19596,73,7.1
English,USA,120,4490375,112000000,13000,897,844,416,2811,1,15293,111,6.8
English,USA,119,9000000,25000000,23,1000,659,440,2951,1,39847,242,6.8
English,USA,121,3800000,25000000,0,3000,977,682,5987,0,103493,317,8.1
English,USA,106,5000000,25000000,44,559,249,136,1199,10,8930,90,6.6
English,USA,145,960000,117235247,80,13000,1000,794,16094,0,375240,542,8.1
English,USA,87,4400000,117235247,0,898,842,753,2951,0,12666,61,6.7
English,USA,110,1300000,117235247,17000,22000,745,595,23525,1,507063,881,8.3
English,USA,102,1300000,117235247,23,288,257,57,677,1,16323,91,7.3
English,UK,107,2800000,117235247,503,264,139,108,673,2,80958,310,7.6
English,UK,107,2800000,117235247,503,264,139,108,673,2,80961,310,7.6
English,USA,175,26000000,50800000,0,385,232,14,669,14,40277,210,7.4
English,USA,93,4000000,39200000,11000,11000,636,629,12691,0,192940,491,8.1
English,USA,130,5000000,39200000,0,1000,849,826,5191,0,15988,153,6.8
English,USA,135,19400870,128300000,14000,559,481,252,1591,0,139288,339,7.7
English,USA,91,17000000,128300000,22,669,642,255,1769,0,3701,71,5.2
English,USA,89,20000,128300000,0,195,158,121,837,1,69831,535,7.4
English,USA,118,14000000,128300000,128,931,726,467,2704,7,16294,252,3.7
English,USA,94,3400000,128300000,0,1000,628,605,2861,0,15115,102,6.7
English,USA,117,7840000,128300000,160,11000,949,898,15604,2,6454,44,7.4
English,USA,97,500000,17000000,8,423,23,22,516,0,3274,84,5.9
English,UK,107,9000000,1000000,6,963,750,375,2209,1,2215,26,6.3
English,USA,125,11000000,460935665,0,11000,1000,504,13485,1,911097,1470,8.7
English,USA,83,650000,460935665,644,119,29,11,190,0,13915,109,6.5
English,UK,123,14000000,46800000,43,456,244,238,1326,2,76477,275,7.1
English,USA,79,350000,46800000,0,246,29,23,345,0,440,21,4.1
English,USA,109,3000000,141600000,644,1000,783,559,3468,6,90177,257,7.6
English,Iran,127,14000000,1000000,109,16000,469,324,17250,0,524,8,6.5
English,USA,94,3000000,1000000,0,820,350,180,1618,0,37594,181,8
English,USA,145,11000000,1000000,278,13000,595,279,14735,2,5561,35,6.4
English,UK,126,5000000,1000000,82,11000,794,576,13591,2,13587,80,6.3
English,USA,110,6000000,181360000,116,1000,944,898,5127,2,170027,350,7.2
English,USA,101,300000,47000000,0,2000,742,598,4400,0,157857,1191,7.9
English,USA,101,300000,47000000,0,2000,742,598,4400,0,157857,1191,7.9
English,USA,101,300000,47000000,0,2000,742,598,4400,0,157863,1191,7.9
English,USA,131,20000000,102922376,82,813,366,85,1520,0,51314,265,5.7
English,USA,188,55000000,134218018,503,10000,593,467,12940,0,126357,497,7.3
English,UK,125,12000000,134218018,76,1000,837,801,4659,3,20660,123,7
English,UK,183,12000000,134218018,517,22000,11000,652,34025,2,232577,1026,8.2
English,USA,117,15000000,321952,17000,725,572,476,2783,0,12611,113,8.2
English,USA,118,24000000,13000000,0,738,295,227,1458,0,10895,150,5.2
English,USA,142,35000000,13000000,14000,16000,1000,642,20201,5,25193,217,5.9
English,UK,116,11000000,78900000,0,1000,581,513,2524,0,563827,1110,8.5
English,USA,123,11000000,78900000,189,813,388,87,1476,0,19228,146,7.8
English,USA,289,31500000,78800000,0,11000,10000,3000,25313,1,450676,983,8.5
English,USA,112,8000000,36500000,152,16000,466,459,17568,0,87090,142,7.6
English,Australia,93,200000,36500000,750,728,76,28,928,0,152232,303,7
English,USA,108,16000000,36500000,38,940,416,316,1945,7,5237,90,4.9
English,UK,126,34000000,62700000,43,244,202,177,1008,2,69534,294,6.3
English,USA,99,100000,62700000,9,116,24,10,170,2,509,10,5.8
English,USA,102,12000000,62700000,287,452,122,79,729,1,3000,75,5.4
English,USA,143,35000000,82300000,338,12000,664,643,16007,2,63330,405,6.4
English,USA,98,20000000,82300000,20,889,877,160,2110,0,18481,230,5.9
English,USA,118,2700000,82300000,19,481,81,48,681,0,8856,90,7.4
English,UK,110,6000000,82300000,735,187,34,20,297,2,11623,50,7
English,UK,95,6000000,76657000,21,1000,985,842,5673,0,25498,92,7.7
English,USA,125,8500000,29200000,43,563,236,122,1097,0,6142,52,6.9
English,USA,88,3500000,83400000,104,628,575,318,2726,0,160281,427,7.8
English,USA,98,6000000,39800000,11000,13000,573,484,14921,3,81599,250,7.4
English,USA,124,20000000,2000000,42,801,174,161,1462,0,2998,74,4.5
English,USA,124,20000000,79900000,150,874,816,572,2667,0,12974,84,7.5
English,USA,104,6500000,31899000,0,754,567,517,2442,0,23986,201,7.1
English,UK,111,20000000,31899000,24,591,488,455,2603,1,38017,247,6.4
English,USA,95,20000000,31899000,14,113,110,60,396,0,1955,44,3.4
English,USA,325,44000000,1500000,517,12000,849,678,14255,0,9830,189,6.8
English,Libya,156,35000000,1500000,278,695,279,249,1573,0,9852,55,8.4
English,USA,124,6000000,54800000,0,2000,553,535,5122,3,35130,283,7.8
English,Canada,94,2200000,54800000,0,311,59,51,498,1,1599,27,7.2
English,USA,109,10000000,69800000,6,1000,745,271,2419,1,18140,60,6.1
English,USA,121,18000000,45250,17000,22000,394,356,23008,1,235133,494,8.3
English,UK,119,36000000,7000000,5,521,372,249,1883,0,2933,70,4.7
English,USA,103,5100000,7000000,82,208,191,32,454,2,21049,249,7.3
English,USA,127,18000000,290158751,883,11000,504,441,12643,0,837759,900,8.8
English,USA,116,54000000,108200000,44,593,467,420,2908,4,76331,269,6.8
English,USA,104,4500000,108200000,116,1000,511,83,1662,0,50125,140,5.7
English,USA,148,27000000,54200000,644,1000,809,326,2566,1,142448,319,7.9
English,USA,124,5000000,54200000,0,12000,754,452,13864,1,161972,356,8.2
English,USA,89,1000000,21378000,0,2000,826,606,4877,0,46492,335,6.8
English,USA,89,1000000,21378000,0,2000,826,606,4878,0,46493,335,6.8
English,USA,100,10000000,21378000,394,2000,926,695,6296,0,7322,78,7.1
English,USA,146,19000000,21378000,0,888,629,413,2560,0,610333,1320,8.4
English,USA,107,18000000,21378000,0,517,376,101,1067,0,27629,149,7.4
English,UK,125,5500000,58800000,46,368,303,249,1651,0,40511,213,7.2
German,West Germany,293,14000000,11433134,249,362,21,18,469,0,168203,426,8.4
English,USA,108,18000000,6000000,25,1000,115,94,1263,0,10832,102,6.7
English,UK,106,6000000,25244700,0,742,602,381,2270,1,91017,284,7.2
English,UK,127,28000000,62300000,46,844,402,244,2118,1,72085,263,6.8
English,USA,87,1250000,19100000,49,309,121,59,707,0,39690,394,6.1
English,USA,96,250000,19100000,5,431,338,180,1228,0,1905,58,4.5
English,USA,78,10000000,19100000,13,753,695,378,2791,0,1040,31,4.2
English,Canada,90,9300000,19100000,0,187,176,123,646,0,23516,147,6.7
English,USA,92,11000000,19100000,0,1000,898,842,3931,0,36559,131,6.9
English,USA,92,11000000,19100000,0,1000,898,842,3931,0,36559,131,6.9
English,South Korea,140,48000000,19100000,92,1000,623,522,2704,1,491,16,2.7
English,Australia,87,2000000,9003011,750,745,531,41,1396,0,133966,294,7.6
English,USA,93,8000000,9003011,2,484,345,213,1455,1,3904,48,5
English,USA,129,5000000,9003011,24,977,485,157,2014,1,10564,161,6.7
English,USA,99,5000000,9003011,6,13000,970,142,14306,2,12519,107,6.4
English,Canada,94,4000000,105500000,84,110,95,95,582,0,31260,152,6.2
None,Canada,100,12500000,105500000,218,581,201,91,931,0,16281,96,7.4
English,USA,115,18000000,242374454,14000,11000,783,488,12906,1,661017,771,8.5
English,USA,195,35000000,242374454,631,635,631,521,2291,0,16255,127,7.5
English,USA,102,17000000,2000000,4,634,537,60,1262,0,1275,27,6.4
English,USA,118,14000000,800000,76,902,488,249,2079,0,892,21,5.2
English,USA,117,10000000,85300000,425,13000,11000,901,27378,1,48629,134,6.9
Italian,Italy,82,400000,126387,385,48,22,22,123,0,14985,253,6.9
English,USA,96,375000,126387,0,634,66,58,813,0,141219,740,7.6
English,USA,107,375000,126387,0,804,167,146,1285,2,3157,33,7.2
English,USA,91,1000000,17986000,287,1000,823,725,4438,0,22773,195,6.6
English,USA,98,18000000,8000000,28,372,262,102,927,0,1400,41,5
English,USA,122,12000000,8000000,30,1000,230,85,1456,0,16764,48,6.6
English,USA,100,12000000,8000000,55,3000,642,212,4277,0,763,10,5.7
English,UK,103,5000000,42365600,0,629,561,504,2730,0,45890,177,7
English,USA,98,20000000,8500000,15,691,374,281,1761,0,2061,34,5.4
English,USA,117,28000000,27000000,0,11000,759,521,13877,2,461609,1168,8.2
English,USA,108,28000000,27000000,32,602,427,180,1991,0,870,18,4.5
English,USA,93,18000000,27000000,261,783,782,697,3700,1,14193,106,6.1
English,USA,93,18000000,27000000,261,783,782,697,3700,1,14193,106,6.1
English,Canada,98,4300000,27000000,73,595,251,129,1105,4,6549,75,6.6
English,USA,129,20000000,37567440,468,919,691,183,2024,0,113065,337,6.9
English,USA,129,20000000,37567440,468,919,691,183,2024,0,113068,337,6.9
English,USA,130,8000000,37567440,0,875,826,602,2662,0,29932,211,6.9
English,USA,130,8000000,37567440,0,875,826,602,2662,0,29935,211,6.9
English,USA,110,5000000,14100000,272,801,796,551,2943,6,14995,87,7.2
English,USA,120,10500000,434949459,14000,861,725,548,2811,0,281842,515,7.9
English,USA,90,4500000,855798918,143,1000,901,811,5002,1,71217,228,7.2
English,USA,136,21000000,46700000,16000,16000,281,216,16805,1,19832,98,5.9
English,USA,93,14000000,46700000,270,13000,954,535,15192,1,172489,376,7.7
English,USA,93,14000000,46700000,270,13000,954,535,15192,1,172493,376,7.7
English,USA,91,4000000,36200000,49,72,31,20,174,0,31952,372,5.7
English,UK,240,22000000,36200000,0,545,429,249,1943,0,171726,256,8.1
English,USA,98,2500000,14400000,24,381,128,67,684,0,28589,532,4.6
English,USA,87,5000000,14400000,3,922,162,83,1324,0,881,32,6.2
English,USA,99,20000000,5333658,379,456,278,251,1356,2,2541,54,3.5
English,USA,120,10700000,76600000,365,887,770,723,3876,0,105446,321,7.4
English,USA,120,10700000,76600000,365,887,770,723,3876,0,105448,321,7.4
English,USA,116,11000000,78900000,120,12000,980,664,16539,2,91414,359,7.7
English,USA,105,1250000,78900000,0,883,655,467,3164,0,39,2,7.1
English,USA,90,8000000,78900000,152,21000,982,826,23714,0,15345,87,6.2
English,USA,114,35000000,69700000,19,1000,883,842,3688,2,7748,48,5.8
English,Australia,102,3500000,69700000,18,492,155,75,854,0,5894,56,7.3
English,USA,109,15000000,13782838,0,957,163,145,1757,0,258078,911,8.2
English,USA,129,16000000,54000000,0,844,617,359,2330,0,26310,154,7.8
English,USA,116,22000000,177200000,521,13000,521,481,14701,1,77366,194,7.4
English,USA,94,4000000,300400000,84,662,577,378,2076,0,104908,458,8.1
English,USA,95,4000000,94900000,213,225,174,92,791,0,35172,128,6.1
Portuguese,Brazil,99,4000000,94900000,9,866,308,3,1179,0,712,9,6.4
English,UK,116,27000000,94900000,170,14000,192,136,14744,1,23351,178,6
English,USA,107,5000000,12200000,8,926,400,268,2383,0,7973,65,6.3
English,Canada,100,7000000,12200000,161,10000,422,172,11059,0,3114,16,4.8
English,USA,88,550000,12200000,11,2000,433,221,2996,1,487,9,6.1
English,USA,98,15000000,61400000,11000,816,695,624,3617,1,71183,183,7.4
English,UK,121,36000000,55500000,883,180,172,133,762,3,48636,214,6.2
English,UK,131,27500000,67900000,46,594,303,293,1898,0,74374,225,6.6
English,USA,142,25000000,44700000,0,14000,670,638,16464,0,537442,851,8.3
English,USA,134,32500000,309125409,37,11000,1000,504,13649,0,681857,647,8.4
English,UK,125,39000000,60000000,44,593,542,420,2329,1,49934,224,4.9
English,USA,103,10000000,60000000,0,1000,278,275,2013,0,44804,182,7.2
English,USA,114,10000000,25600000,0,10000,919,699,12097,0,57363,308,7.2
English,USA,193,27000000,21500000,133,2000,826,820,6341,0,45271,170,7.9
English,UK,98,8000000,21500000,136,977,649,249,2413,0,802,15,4
English,USA,116,8000000,90400000,644,392,249,199,845,2,102895,159,7.5
English,USA,101,10000000,29500000,287,745,730,257,1954,0,25613,121,6.5
English,Canada,89,5952000,29500000,0,391,20,15,477,0,60522,228,7.3
English,USA,114,12000000,79568000,139,2000,883,793,4537,0,71842,152,7.1
English,UK,132,12000000,30400000,0,405,194,122,914,1,9503,68,6.6
English,USA,101,1800000,26505000,0,40000,852,574,42918,1,149285,668,7.5
English,USA,101,1800000,26505000,0,40000,852,574,42918,1,149293,668,7.5
English,UK,164,16000000,26400000,767,358,223,162,1334,0,12980,89,7.4
English,USA,180,18000000,51600000,869,692,670,521,3076,0,270790,549,8.3
English,USA,105,14000000,234760500,102,901,605,383,3464,1,126464,175,7.3
English,USA,114,10000000,417921000,0,537,376,298,1856,0,20113,178,6.8
English,USA,96,1250000,601081500,4,796,697,132,1866,0,7528,88,5.5
English,USA,103,18000000,26400000,130,691,476,406,2481,1,62009,109,5.8
English,USA,177,40000000,27400000,0,913,362,202,2449,3,97087,569,6.6
English,USA,114,15000000,15100000,73,695,654,563,3444,1,22797,96,6
English,USA,107,8200000,80000000,71,967,455,304,1962,0,51459,113,6.5
English,USA,107,8200000,80000000,71,967,455,304,1962,0,51459,113,6.5
English,USA,97,1800000,32600000,17,158,84,74,467,0,29488,326,5.9
English,USA,106,11000000,148170000,287,767,281,233,2053,0,142293,245,7.2
English,USA,118,28000000,179870271,14000,11000,429,237,11898,2,329969,524,7.6
English,Italy,251,30000000,5300000,0,22000,683,642,24719,8,221000,495,8.4
English,USA,96,4500000,81200000,37,801,760,542,3113,0,87739,133,6.7
English,USA,114,16900000,81200000,468,1000,1000,919,3860,0,41776,383,6.4
English,USA,92,1500000,81200000,92,752,324,166,1652,3,25332,148,6.9
English,UK,117,25000000,69800000,71,433,54,42,611,1,3334,52,4.8
English,USA,111,8000000,69800000,2000,15000,161,51,15361,2,54723,99,6.2
English,USA,105,17000000,76400000,12000,12000,664,643,14762,1,58743,192,6.6
English,UK,132,25000000,8600000,79,14000,12000,1000,28094,2,17982,95,7
English,USA,123,58000000,25900000,0,12000,5000,886,18793,1,12771,84,6.5
English,UK,109,7500000,5100000,62,584,552,518,2024,0,6595,61,6
English,USA,91,9000000,5100000,12,1000,300,297,1991,4,7767,56,5.7
English,USA,126,8000000,90800000,80,668,641,225,2004,0,126907,235,7.2
English,USA,126,8000000,90800000,80,668,641,225,2004,0,126916,235,7.2
English,West Germany,94,27000000,90800000,249,523,312,271,1560,1,99557,284,7.4
English,UK,107,6500000,38400000,0,2000,663,255,3582,1,600266,692,8.1
English,USA,91,475000,38400000,6,488,11,10,553,0,19253,147,6.2
English,USA,87,2200000,30000000,28,426,359,217,1472,0,43485,327,5.4
English,UK,117,3000000,20966644,133,687,443,249,1665,0,29610,94,7.4
English,UK,131,30000000,50300000,46,1000,439,433,2943,2,68565,300,6.3
English,USA,116,19000000,210609762,0,1000,690,459,3230,0,732212,809,8.5
English,UK,142,15000000,9929000,0,22000,5000,1000,29475,0,152306,513,8
English,USA,75,10000000,109211416.6,73,1000,745,581,3192,0,111649,437,6.7
English,USA,87,3500000,124161528.4,0,1000,177,83,1592,1,49669,419,7.2
English,USA,87,3500000,139111640.2,0,1000,177,83,1592,1,49672,419,7.2
English,Canada,88,1750000,154061752,4,232,23,13,289,0,1339,46,4.3
English,USA,92,2200000,21300000,13,42,27,17,170,0,22521,342,4.7
English,USA,107,10000000,36200000,17,371,324,53,857,1,6143,90,5.3
English,USA,97,3000000,36200000,78,685,178,77,1163,0,1361,16,6.6
English,USA,121,20000000,87100000,503,2000,92,83,2251,2,33597,185,7
English,UK,101,25000000,138000000,365,338,246,141,1008,0,15531,189,6.1
English,Australia,107,12305523,36200000,750,794,531,60,1529,2,101840,193,6.2
English,UK,97,650000,36200000,350,114,61,33,260,1,10577,64,6.9
English,USA,161,31000000,87100000,521,11000,920,184,12518,0,52339,200,7.2
English,USA,115,6900000,41400000,16000,16000,455,240,17209,0,39451,138,7.3
English,USA,96,44000000,150415432,170,13000,738,668,15662,0,117606,217,6.4
